source,title_en,title_ko,tier,link,published
Marca,"Mohamed Azzi, en la agenda del Getafe",헤타페의 의제에 모하메드 아지(Mohamed Azzi),rumor,https://www.marca.com/futbol/getafe/2026/08/28/mohamed-azzi-agenda-getafe.html,2026-08-28 16:29
Marca,El Valencia aprieta por Harvey Elliott,"발렌시아, 하비 엘리엇 영입 추진",rumor,https://www.marca.com/futbol/valencia/2026/08/28/valencia-aprieta-harvey-elliott.html,2026-08-28 16:18
Marca,Olympiacos se suma a la puja por Pablo García,올림피아코스가 파블로 가르시아 영입에 합류,rumor,https://www.marca.com/futbol/betis/2026/08/28/olympiacos-suma-puja-pablo-garcia.html,2026-08-28 15:49
Marca,"Álvaro Morata, nuevo jugador del Leganés",레가네스의 새로운 선수 알바로 모라타,rumor,https://www.marca.com/futbol/leganes/2026/08/28/alvaro-morata-nuevo-jugador-leganes.html,2026-08-28 15:01
Marca,Morata ya ha firmado su contrato con el Leganés,모라타는 이미 레가네스와 계약을 맺었습니다.,rumor,https://www.marca.com/futbol/leganes/2026/08/28/morata-firmado-contrato-leganes.html,2026-08-28 12:38
Marca,"Suso, de fichaje estrella a una salida en apenas un año","수소, 스타 영입부터 단 1년 만에 출국까지",rumor,https://www.marca.com/futbol/cadiz/2026/08/28/suso-fichaje-estrella-salida-apenas-ano.html,2026-08-28 12:09
Marca,El Castellón refuerza la defensa con el fichaje del italiano Federico Ceccherini,카스테욘은 이탈리아 출신 페데리코 체체리니를 영입해 수비를 강화했습니다.,rumor,https://www.marca.com/futbol/castellon/2026/08/28/castellon-refuerza-defensa-fichaje-italiano-federico-ceccherini.html,2026-08-28 11:06
Marca,La cesión de Pedrosa al Rayo Vallecano ya es oficial,라요 바예카노로의 페드로사의 임대는 이제 공식화되었습니다.,agreed,https://www.marca.com/futbol/rayo/2026/08/28/cesion-pedrosa-rayo-vallecano-oficial.html,2026-08-28 09:12
Marca,Oficial: Sarr llega cedido desde el Chelsea,"공식: 사르, 첼시에서 임대로 도착",agreed,https://www.marca.com/futbol/real-sociedad/2026/08/28/oficial-sarr-llega-cedido-chelsea.html,2026-08-28 08:09
Marca,"Hugo Duro y el mercado: por ocho no, por 15 sí","휴고 듀로(Hugo Duro)와 시장: 8인용 아니오, 15인용 예",rumor,https://www.marca.com/futbol/valencia/2026/08/28/hugo-duro-mercado-ocho-15.html,2026-08-28 08:09
Marca,"Jens Cajuste, opción alternativa al centro del campo malaguista",말라기스타 미드필더의 대체 옵션인 옌스 카유드,rumor,https://www.marca.com/futbol/malaga/2026/08/28/jens-cajuste-opcion-alternativa-centro-campo-malaguista.html,2026-08-28 07:45
Marca,Xabi Alonso se carga a Enzo Fernández y su salida al Manchester City se calienta,사비 알론소가 엔초 페르난데스를 죽이고 맨체스터 시티로의 이적은 뜨거워졌습니다,rumor,https://www.marca.com/futbol/premier-league/2026/08/28/xabi-alonso-carga-enzo-fernandez-salida-manchester-city-calienta.html,2026-08-28 06:44
Marca,Esperando los anuncios de Sarr y a Fort,Sarr와 Fort의 발표를 기다리는 중,rumor,https://www.marca.com/futbol/real-sociedad/2026/08/27/esperando-anuncios-sarr-fort.html,2026-08-27 19:54
Marca,Meseguer acaba su etapa en un Valladolid que se apoya en el vino y en la provincia para crecer,Meseguer는 와인과 지역 성장에 의존하는 바야돌리드에서 그의 무대를 마무리합니다.,rumor,https://www.marca.com/futbol/valladolid/2026/08/27/meseguer-acaba-etapa-valladolid-apoya-vino-provincia-crecer.html,2026-08-27 17:47
Marca,Iniesta acabó de convencer a Munir para fichar por el Alba,이니에스타는 무니르가 알바와 계약하도록 설득했습니다.,rumor,https://www.marca.com/futbol/albacete/2026/08/27/iniesta-acabo-convencer-munir-fichar-alba.html,2026-08-27 17:15
Marca,Bryan Zaragoza ya es jugador del Espanyol,브라이언 사라고사는 이미 에스파뇰 선수입니다,rumor,https://www.marca.com/futbol/espanyol/2026/08/27/bryan-zaragoza-jugador-espanyol.html,2026-08-27 15:52
Marca,El Real Madrid se hace con los servicios de Óscar Naasei,레알 마드리드가 오스카 나아세이의 서비스를 인수했습니다.,rumor,https://www.marca.com/futbol/granada/2026/08/27/real-madrid-servicios-oscar-naasei.html,2026-08-27 15:17
Marca,"Carvajal, Joselu y Ceballos: los agentes libres que ganaron la Champions hace dos años","카르바할, 호세루, 세바요스: 2년 전 챔피언스 리그에서 우승한 자유계약선수(FA)",rumor,https://www.marca.com/futbol/2026/08/27/carvajal-joselu-ceballos-agentes-libres-ganaron-champions-dos-anos.html,2026-08-27 13:02
Marca,"Arnau Martínez: “Solo he querido venir aquí, el Valencia ha hecho un gran esfuerzo”","아르나우 마르티네스: ""나는 단지 여기로 오고 싶었습니다. 발렌시아는 엄청난 노력을 했습니다.""",rumor,https://www.marca.com/futbol/valencia/2026/08/27/arnau-martinez-he-querido-venir-aqui-valencia-hecho-gran-esfuerzo.html,2026-08-27 12:13
Marca,Matteo Moretto desvela los tres delanteros que gustan a Mateu Alemany,Matteo Moreto는 Mateu Alemany가 좋아하는 세 명의 포워드를 공개합니다.,rumor,https://www.marca.com/radio/2026/08/27/matteo-moretto-desvela-tres-delanteros-gustan-mateu-alemany.html,2026-08-27 11:35
Marca,El Girona hace oficial el traspaso de Tsygankov al Ajax,Girona는 Tsygankov의 Ajax 공식 이적을 승인했습니다.,agreed,https://www.marca.com/futbol/girona/2026/08/27/girona-oficial-traspaso-tsygankov-ajax.html,2026-08-27 10:27
Marca,Sarr ya está en San Sebastián para pasar el examen médico y firmar con la Real,사르는 메디컬 테스트를 통과하고 레알 마드리드와 계약하기 위해 이미 산세바스티안에 있다.,agreed,https://www.marca.com/futbol/real-sociedad/2026/08/27/sarr-san-sebastian-pasar-examen-medico-firmar-real.html,2026-08-27 09:37
Marca,Ya hay acuerdo PSG-Liverpool por Barcola: ¡140 millones de euros!,PSG-리버풀은 이미 바르콜라와 1억 4천만 유로의 계약을 체결했습니다!,agreed,https://www.marca.com/futbol/premier-league/2026/08/27/hay-acuerdo-psg-liverpool-barcola-140-millones-euros.html,2026-08-27 08:43
Marca,Gnangoro Bouare ficha cinco temporadas por el Rayo Vallecano,Gnangoro Bouare는 Rayo Vallecano와 5시즌 계약을 맺었습니다.,rumor,https://www.marca.com/futbol/rayo/2026/08/27/gnangoro-bouare-ficha-cinco-temporadas-rayo-vallecano.html,2026-08-27 07:44
Marca,El Valencia hace oficial el fichaje de Arnau Martínez hasta 2031,발렌시아는 2031년까지 아르나우 마르티네스의 공식 계약을 체결했습니다.,agreed,https://www.marca.com/futbol/valencia/2026/08/26/valencia-oficial-fichaje-arnau-martinez-2031.html,2026-08-26 19:04
