run_date,event_type,squad,player,old_injury,new_injury,old_until,new_until
2026-07-06,new_injury,AZ Alkmaar,Jizz Hornkamp,,Ankle injury,,
2026-07-06,new_injury,Ajax,Amourricho van Axel Dongen,,Thigh problems,,
2026-07-06,new_injury,Ajax,Joeri Heerkens,,Ankle surgery,,
2026-07-06,new_injury,Ajax,Oliver Edvardsen,,unknown injury,,
2026-07-06,new_injury,Ajax,Owen Wijndal,,unknown injury,,
2026-07-06,new_injury,Feyenoord,Anel Ahmedhodzic,,unknown injury,,
2026-07-06,new_injury,Feyenoord,Bart Nieuwkoop,,unknown injury,,
2026-07-06,new_injury,Feyenoord,Leo Sauer,,Partial muscle tear,,
2026-07-06,new_injury,Feyenoord,Thomas Beelen,,Broken leg,,
2026-07-06,new_injury,Fortuna Sittard,Ramazan Bayram,,Knee injury,,
2026-07-06,new_injury,Go Ahead Eagles,Calvin Twigt,,unknown injury,,
2026-07-06,new_injury,Go Ahead Eagles,Gerrit Nauber,,Broken leg,,
2026-07-06,new_injury,Go Ahead Eagles,Pim Saathof,,Cruciate ligament tear,,01/01/2027
2026-07-06,new_injury,Groningen,Oskar Zawada,,Arm injury,,
2026-07-06,new_injury,Groningen,Stije Resink,,Cruciate ligament injury,,01/01/2027
2026-07-06,new_injury,Heerenveen,Levi Smans,,Knee injury,,
2026-07-06,new_injury,NEC Nijmegen,Perr Schuurs,,Knee surgery,,
2026-07-06,new_injury,PSV,Alassane Pléa,,Cartilage damage,,
2026-07-06,new_injury,PSV,Dennis Man,,muscular problems,,
2026-07-06,new_injury,PSV,Jerdy Schouten,,Cruciate ligament tear,,01/05/2027
2026-07-06,new_injury,SC Cambuur Leeuwarden,Daan Visser,,Cruciate ligament surgery,,
2026-07-06,new_injury,Twente,Mees Hilgers,,Cruciate ligament tear,,
2026-07-06,new_injury,Utrecht,Alonzo Engwanda,,Hamstring injury,,
2026-07-06,new_injury,Utrecht,Miliano Jonathans,,Cruciate ligament tear,,
2026-07-06,new_injury,Utrecht,Victor Jensen,,Knee injury,,
2026-07-06,new_injury,Willem II Tilburg,Amine Lachkar,,Groin problems,,
2026-07-06,new_injury,Willem II Tilburg,Anass Zarrouk,,unknown injury,,
2026-07-06,new_injury,Willem II Tilburg,Jari Schuurman,,Knock,,
2026-07-08,new_injury,Feyenoord,Jordan Bos,,Knee injury,,
2026-07-09,recovered_or_removed,Ajax,Joeri Heerkens,Ankle surgery,,,
2026-07-09,recovered_or_removed,Ajax,Oliver Edvardsen,unknown injury,,,
2026-07-09,recovered_or_removed,Ajax,Owen Wijndal,unknown injury,,,
2026-07-11,new_injury,Feyenoord,Gijs Smal,,unknown injury,,
2026-07-13,updated,Feyenoord,Jordan Bos,Knee injury,Knee surgery,,
2026-07-13,recovered_or_removed,Feyenoord,Anel Ahmedhodzic,unknown injury,,,
2026-07-13,recovered_or_removed,Twente,Mees Hilgers,Cruciate ligament tear,,,
2026-07-15,recovered_or_removed,AZ Alkmaar,Jizz Hornkamp,Ankle injury,,,
2026-07-15,recovered_or_removed,Ajax,Amourricho van Axel Dongen,Thigh problems,,,
2026-07-15,recovered_or_removed,Feyenoord,Bart Nieuwkoop,unknown injury,,,
2026-07-15,recovered_or_removed,Feyenoord,Gijs Smal,unknown injury,,,
2026-07-15,recovered_or_removed,Feyenoord,Jordan Bos,Knee surgery,,,
2026-07-15,recovered_or_removed,Feyenoord,Leo Sauer,Partial muscle tear,,,
2026-07-15,recovered_or_removed,Feyenoord,Thomas Beelen,Broken leg,,,
2026-07-15,recovered_or_removed,Fortuna Sittard,Ramazan Bayram,Knee injury,,,
2026-07-15,recovered_or_removed,Go Ahead Eagles,Calvin Twigt,unknown injury,,,
2026-07-15,recovered_or_removed,Go Ahead Eagles,Gerrit Nauber,Broken leg,,,
2026-07-15,recovered_or_removed,Go Ahead Eagles,Pim Saathof,Cruciate ligament tear,,01/01/2027,
2026-07-15,recovered_or_removed,Groningen,Oskar Zawada,Arm injury,,,
2026-07-15,recovered_or_removed,Groningen,Stije Resink,Cruciate ligament injury,,01/01/2027,
2026-07-15,recovered_or_removed,Heerenveen,Levi Smans,Knee injury,,,
2026-07-15,recovered_or_removed,NEC Nijmegen,Perr Schuurs,Knee surgery,,,
2026-07-15,recovered_or_removed,PSV,Alassane Pléa,Cartilage damage,,,
2026-07-15,recovered_or_removed,PSV,Dennis Man,muscular problems,,,
2026-07-15,recovered_or_removed,PSV,Jerdy Schouten,Cruciate ligament tear,,01/05/2027,
2026-07-15,recovered_or_removed,SC Cambuur Leeuwarden,Daan Visser,Cruciate ligament surgery,,,
2026-07-15,recovered_or_removed,Utrecht,Alonzo Engwanda,Hamstring injury,,,
2026-07-15,recovered_or_removed,Utrecht,Miliano Jonathans,Cruciate ligament tear,,,
2026-07-15,recovered_or_removed,Utrecht,Victor Jensen,Knee injury,,,
2026-07-15,recovered_or_removed,Willem II Tilburg,Amine Lachkar,Groin problems,,,
2026-07-15,recovered_or_removed,Willem II Tilburg,Anass Zarrouk,unknown injury,,,
2026-07-15,recovered_or_removed,Willem II Tilburg,Jari Schuurman,Knock,,,
