run_date,event_type,squad,player,old_injury,new_injury,old_until,new_until
2026-07-06,new_injury,Braga,Adrian Barisic,,Adductor injury,,
2026-07-06,new_injury,Braga,Bright Arrey-Mbi,,unknown injury,,
2026-07-06,new_injury,Braga,Sikou Niakaté,,Achilles tendon rupture,,
2026-07-06,new_injury,Famalicão,Finn van Breemen,,Knee surgery,,31/08/2026
2026-07-06,new_injury,Gil Vicente FC,Mohamed Bamba,,unknown injury,,
2026-07-06,new_injury,Nacional,Ivanildo Fernandes,,unknown injury,,
2026-07-06,new_injury,Nacional,Ulisses,,unknown injury,,
2026-07-06,new_injury,Porto,Samu Aghehowa,,Cruciate ligament tear,,31/10/2026
2026-07-06,new_injury,Porto,Vasco Sousa,,Broken fibula,,
2026-07-06,new_injury,Rio Ave,Brandon Aguilera,,Cruciate ligament tear,,
2026-07-06,new_injury,Rio Ave,Cezary Miszta,,Back problems,,
2026-07-06,new_injury,Santa Clara,MT,,Cruciate ligament tear,,
2026-07-06,new_injury,Sporting CP,Zeno Debast,,Hamstring muscle injury,,
2026-07-07,recovered_or_removed,Sporting CP,Zeno Debast,Hamstring muscle injury,,,
2026-07-15,recovered_or_removed,Braga,Adrian Barisic,Adductor injury,,,
2026-07-15,recovered_or_removed,Braga,Bright Arrey-Mbi,unknown injury,,,
2026-07-15,recovered_or_removed,Braga,Sikou Niakaté,Achilles tendon rupture,,,
2026-07-15,recovered_or_removed,Famalicão,Finn van Breemen,Knee surgery,,31/08/2026,
2026-07-15,recovered_or_removed,Gil Vicente FC,Mohamed Bamba,unknown injury,,,
2026-07-15,recovered_or_removed,Nacional,Ivanildo Fernandes,unknown injury,,,
2026-07-15,recovered_or_removed,Nacional,Ulisses,unknown injury,,,
2026-07-15,recovered_or_removed,Porto,Samu Aghehowa,Cruciate ligament tear,,31/10/2026,
2026-07-15,recovered_or_removed,Porto,Vasco Sousa,Broken fibula,,,
2026-07-15,recovered_or_removed,Rio Ave,Brandon Aguilera,Cruciate ligament tear,,,
2026-07-15,recovered_or_removed,Rio Ave,Cezary Miszta,Back problems,,,
2026-07-15,recovered_or_removed,Santa Clara,MT,Cruciate ligament tear,,,
