run_date,event_type,squad,player,old_injury,new_injury,old_until,new_until
2026-07-02,new_injury,Atalanta,Isak Hien,,Thigh problems,,30/09/2026
2026-07-02,new_injury,Atalanta,Lorenzo Bernasconi,,Inner ligament injury,,
2026-07-02,new_injury,Bologna,Emil Holm,,Muscle injury,,
2026-07-02,new_injury,Bologna,Oussama El Azzouzi,,Hamstring injury,,
2026-07-02,new_injury,Bologna,Riccardo Orsolini,,Adductor pain,,
2026-07-02,new_injury,Cagliari,Riyad Idrissi,,Cruciate ligament tear,,01/09/2026
2026-07-02,new_injury,Fiorentina,Fabiano Parisi,,Cruciate ligament injury,,19/10/2026
2026-07-02,new_injury,Fiorentina,Riccardo Sottil,,Lumbago,,
2026-07-02,new_injury,Lazio,Alessio Furlanetto,,Cruciate ligament surgery,,
2026-07-02,new_injury,Lazio,Danilo Cataldi,,Inflammation of pubic bone,,
2026-07-02,new_injury,Lazio,Filipe Bordon,,Metatarsal fracture,,
2026-07-02,new_injury,Lazio,Gustav Isaksen,,Inflammation of pubic bone,,
2026-07-02,new_injury,Lazio,Ivan Provedel,,Shoulder injury,,31/08/2026
2026-07-02,new_injury,Napoli,Billy Gilmour,,Knee injury,,
2026-07-02,new_injury,Napoli,Luca Marianucci,,Bruised knee,,
2026-07-02,new_injury,Parma,Adrián Bernabé,,Muscle injury,,
2026-07-02,new_injury,Roma,Luigi Cherubini,,Muscle fatigue,,
2026-07-02,new_injury,Roma,Wesley,,Hamstring injury,,
2026-07-02,new_injury,Sassuolo,Darryl Bakola,,Knee problems,,
2026-07-02,new_injury,Sassuolo,Ismaël Koné,,Tibia and fibula fracture,,
2026-07-02,new_injury,Sassuolo,Sebastian Walukiewicz,,Dead leg,,
2026-07-02,new_injury,Sassuolo,Yeferson Paz,,Cruciate ligament injury,,31/07/2026
2026-07-02,new_injury,Torino,Franco Israel,,Shoulder injury,,
2026-07-02,new_injury,Torino,Pietro Pellegri,,Cruciate ligament tear,,
2026-07-02,new_injury,Udinese,Alessandro Zanoli,,Cruciate ligament tear,,28/07/2026
2026-07-02,new_injury,Udinese,Juan Arizala,,unknown injury,,
2026-07-02,new_injury,Udinese,Simone Pafundi,,muscular problems,,
2026-07-02,new_injury,Venezia FC,Gaetano Oristanio,,Knee problems,,
2026-07-05,new_injury,Torino,Côme Bianay Balcot,,Muscle injury,,
2026-07-07,recovered_or_removed,Atalanta,Lorenzo Bernasconi,Inner ligament injury,,,
